Summit Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10264.36
ext4_video,10264.35
ext4_video,10264.21
ext4_video,10263.58
ext4_video,10262.93
ext4_video,10262.57
ext4_video,10262.12
ext4_video,10261.99
ext4_video,10261.9
ext4_video,10261.85
ext4_video,10261.72
sealfs_video,10261.09
ext4_video,10260.84
ext4_video,10260.66
ext4_video,10260.53
ext4_video,10260.51
ext4_video,10260.48
ext4_video,10260.47
ext4_video,10260.3
ext4_video,10260.07
ext4_video,10260.04
ext4_video,10259.87
ext4_video,10258.77
ext4_video,10258.66
ext4_video,10258.37
ext4_video,10258.05
ext4_video,10257.63
sealfs_video,10257.5
ext4_video,10257.44
ext4_video,10257.44
sealfs_video,10257.41
ext4_video,10257.38
ext4_video,10257.11
ext4_video,10256.96
ext4_video,10256.84
ext4_video,10256.79
ext4_video,10256.76
ext4_video,10256.36
ext4_video,10256.29
sealfs_video,10255.98
ext4_video,10255.94
ext4_video,10255.84
ext4_video,10255.5
ext4_video,10255.37
ext4_video,10255.28
ext4_video,10255.15
ext4_video,10255.1
ext4_video,10255.06
ext4_video,10255
ext4_video,10254.98
ext4_video,10254.81
ext4_video,10254.72
ext4_video,10254.47
ext4_video,10254.33
ext4_video,10254.32
ext4_video,10254.19
ext4_video,10253.78
ext4_video,10253.75
ext4_video,10253.61
ext4_video,10253.53
ext4_video,10253.29
ext4_video,10253.26
ext4_video,10252.98
ext4_video,10252.41
ext4_video,10252.25
ext4_video,10252.05
ext4_video,10251.95
sealfs_video,10251.91
ext4_video,10251.33
sealfs_video,10251.16
ext4_video,10250.88
ext4_video,10250.66
ext4_video,10250.49
ext4_video,10249.15
ext4_video,10248.99
ext4_video,10248.28
ext4_video,10248.11
ext4_video,10247.7
ext4_video,10247.68
ext4_video,10246.96
ext4_video,10246.18
sealfs_video,10245.98
ext4_video,10245.49
ext4_video,10244.7
ext4_video,10244.6
ext4_video,10244.44
ext4_video,10243.95
ext4_video,10243.86
ext4_video,10243.75
ext4_video,10243.11
ext4_video,10242.52
ext4_video,10242
sealfs_video,10241.16
ext4_video,10240.48
ext4_video,10239.79
ext4_video,10238.73
sealfs_video,10237.8
ext4_video,10237.62
ext4_video,10237.53
ext4_video,10236.78
ext4_video,10236.71
ext4_video,10236.42
ext4_video,10236.35
ext4_video,10235.17
ext4_video,10234.34
ext4_video,10234.33
ext4_video,10234.22
ext4_video,10234.12
ext4_video,10234.03
ext4_video,10233.99
ext4_video,10233.86
sealfs_video,10233.66
ext4_video,10231.93
ext4_video,10230.23
ext4_video,10230.06
ext4_video,10229.99
ext4_video,10229.98
ext4_video,10229.95
ext4_video,10229.51
ext4_video,10229.43
ext4_video,10229.15
ext4_video,10228.83
ext4_video,10228.83
ext4_video,10228.6
ext4_video,10227.47
ext4_video,10227.07
ext4_video,10226.95
ext4_video,10226.56
ext4_video,10226.52
ext4_video,10226.38
ext4_video,10225.91
ext4_video,10225.72
ext4_video,10225.52
sealfs_video,10225.36
ext4_video,10225.32
ext4_video,10225.3
ext4_video,10225.3
ext4_video,10225.27
ext4_video,10225.27
ext4_video,10225.05
ext4_video,10224.93
ext4_video,10224.8
ext4_video,10224.78
ext4_video,10224.72
ext4_video,10224.61
ext4_video,10224.52
ext4_video,10223.69
ext4_video,10223.67
ext4_video,10223.32
ext4_video,10223.09
ext4_video,10223.05
ext4_video,10222.72
ext4_video,10222.6
ext4_video,10222.32
ext4_video,10222.13
ext4_video,10222.12
sealfs_video,10222.01
ext4_video,10221.34
ext4_video,10221.3
ext4_video,10220.99
ext4_video,10220.89
ext4_video,10220.71
ext4_video,10220.67
ext4_video,10220.38
ext4_video,10220.28
ext4_video,10220.02
ext4_video,10219.32
ext4_video,10219.27
ext4_video,10219.19
ext4_video,10219.11
ext4_video,10218.85
ext4_video,10218.65
ext4_video,10218.6
ext4_video,10218.36
ext4_video,10218.31
ext4_video,10218.25
sealfs_video,10217.71
ext4_video,10217.14
ext4_video,10217.06
ext4_video,10216.66
ext4_video,10216.62
ext4_video,10216.37
ext4_video,10216.3
ext4_video,10216.01
ext4_video,10216
ext4_video,10215.56
ext4_video,10215.52
ext4_video,10214.1
ext4_video,10213.96
ext4_video,10212.57
sealfs_video,10212.12
ext4_video,10211.66
ext4_video,10211.6
sealfs_video,10211.03
ext4_video,10210.4
ext4_video,10210.38
ext4_video,10210.34
ext4_video,10210.26
ext4_video,10210.26
ext4_video,10209.71
ext4_video,10209.64
ext4_video,10209.38
ext4_video,10209.17
ext4_video,10209.15
ext4_video,10208.16
ext4_video,10207.96
sealfs_video,10207.93
ext4_video,10207.7
ext4_video,10207.32
ext4_video,10207.16
