Summit Bandwidth in Audio Test,bandwidth (kB/s)
sealfs,127.19
sealfs,115.2
sealfs,118.98
sealfs,123.71
sealfs,112.07
sealfs,131.46
sealfs,118.98
sealfs,119.54
sealfs,116
sealfs,119.95
sealfs,127.65
sealfs,116.06
sealfs,119.88
sealfs,116.08
sealfs,123.77
sealfs,122.7
sealfs,118.92
sealfs,118.91
sealfs,118.91
sealfs,122.81
sealfs,122.61
sealfs,118.95
sealfs,118.88
sealfs,115.91
sealfs,118.52
sealfs,130.79
sealfs,112.09
sealfs,123.91
sealfs,119.56
sealfs,119.22
sealfs,126.57
sealfs,115.12
sealfs,119.13
sealfs,119.21
sealfs,119.26
sealfs,131.35
sealfs,111.52
sealfs,119.87
sealfs,123.7
sealfs,112.12
sealfs,127.6
sealfs,123.6
sealfs,112.05
sealfs,119.82
sealfs,131.36
sealfs,116.05
sealfs,119.77
sealfs,115.77
sealfs,119.77
sealfs,127.63
sealfs,116.08
sealfs,119.47
sealfs,123.67
sealfs,112.12
sealfs,127.64
sealfs,123.87
sealfs,111.57
sealfs,123.2
sealfs,119.35
sealfs,127.15
sealfs,116.07
sealfs,119.89
sealfs,115.99
sealfs,119.84
sealfs,127.54
sealfs,115.96
sealfs,123.74
sealfs,112.25
sealfs,123.35
sealfs,127.01
sealfs,119.55
sealfs,115.44
sealfs,119.92
sealfs,119.87
sealfs,126.99
sealfs,115.52
sealfs,119.37
sealfs,119.39
sealfs,119.39
sealfs,123.18
sealfs,119.31
sealfs,119.91
sealfs,116.02
sealfs,119.86
sealfs,127.69
sealfs,123.72
sealfs,112.17
sealfs,119.92
sealfs,123.57
sealfs,122.92
sealfs,119.32
sealfs,119.37
sealfs,115.98
sealfs,119.87
sealfs,123.75
sealfs,119.9
sealfs,119.84
sealfs,115.92
sealfs,119.93
sealfs,131.36
sealfs,112.15
sealfs,123.72
sealfs,119.8
sealfs,112.26
sealfs,131.51
sealfs,119.95
sealfs,112.09
sealfs,123.72
sealfs,119.91
sealfs,119.9
sealfs,123.77
sealfs,115.82
sealfs,119.83
sealfs,119.87
sealfs,122.89
sealfs,123.74
sealfs,112.12
sealfs,119.89
sealfs,123.71
sealfs,119.86
sealfs,119.84
sealfs,123.78
sealfs,119.93
sealfs,116.07
sealfs,127.53
sealfs,119.73
sealfs,115.89
sealfs,119.9
sealfs,119.86
sealfs,123.73
sealfs,119.87
sealfs,115.9
sealfs,119.91
sealfs,127.63
sealfs,119.74
sealfs,119.92
sealfs,120
sealfs,115.89
sealfs,122.99
sealfs,112.24
sealfs,127.18
sealfs,123.61
sealfs,112
sealfs,119.82
sealfs,123.77
sealfs,119.78
sealfs,123.64
sealfs,119.88
sealfs,118.86
sealfs,115.95
sealfs,127.44
sealfs,119.78
sealfs,119.79
sealfs,115.97
sealfs,116.01
sealfs,131.38
sealfs,116
sealfs,119.88
sealfs,119.79
sealfs,112.13
sealfs,131.46
sealfs,119.99
sealfs,111.97
sealfs,123.74
sealfs,119.35
sealfs,127.42
sealfs,115.26
sealfs,119.81
sealfs,123.74
sealfs,115.91
sealfs,123.62
sealfs,119.76
sealfs,119.2
sealfs,119.8
sealfs,115.86
sealfs,127.57
sealfs,119.72
sealfs,115.92
sealfs,119.89
sealfs,123.71
sealfs,119.68
sealfs,119.84
sealfs,123.73
sealfs,119.17
sealfs,112.05
