Summit Throughtput on Video Test,Bandwidth (kB/s)
sealfs,7776.89
sealfs,7776.51
sealfs,7776.49
sealfs,7776.4
sealfs,7776.39
sealfs,7775.45
sealfs,7774.9
sealfs,7774.69
sealfs,7774.33
sealfs,7774.31
sealfs,7773.92
sealfs,7773.35
sealfs,7773.29
sealfs,7773.27
sealfs,7772.91
sealfs,7772.27
sealfs,7771.9
sealfs,7771.48
sealfs,7771.32
sealfs,7770.74
sealfs,7770.19
sealfs,7770.06
sealfs,7769.99
sealfs,7769.36
sealfs,7769.25
sealfs,7769.04
sealfs,7768.69
sealfs,7768.66
sealfs,7767.77
sealfs,7767.61
sealfs,7767.33
sealfs,7766.69
sealfs,7765.69
sealfs,7765.29
sealfs,7765.21
sealfs,7765.09
sealfs,7764
sealfs,7763.8
sealfs,7763
sealfs,7762.22
sealfs,7761.32
sealfs,7760.97
sealfs,7759.95
sealfs,7759.39
sealfs,7759.27
sealfs,7759.14
sealfs,7759.01
sealfs,7758.75
sealfs,7758.68
sealfs,7758.45
sealfs,7757.81
sealfs,7757.29
sealfs,7757.28
sealfs,7757.12
sealfs,7756.61
sealfs,7755.58
sealfs,7755.54
sealfs,7755.47
sealfs,7755.45
sealfs,7755.39
sealfs,7755.39
sealfs,7754.39
sealfs,7754.37
sealfs,7754.16
sealfs,7753.91
sealfs,7753.82
sealfs,7753.71
sealfs,7753.67
sealfs,7753.39
sealfs,7752.84
sealfs,7752.8
sealfs,7752.77
sealfs,7752.71
sealfs,7751.77
sealfs,7751.63
sealfs,7751.35
sealfs,7750.86
sealfs,7750.42
sealfs,7750.37
sealfs,7750.06
sealfs,7749.9
sealfs,7749.67
sealfs,7749.58
sealfs,7749.48
sealfs,7749.42
sealfs,7749.28
sealfs,7748.92
sealfs,7748.85
sealfs,7748.46
sealfs,7748.14
sealfs,7748.12
sealfs,7748
sealfs,7747.94
sealfs,7747.9
sealfs,7747.32
sealfs,7746.95
sealfs,7746.53
sealfs,7746.42
ext4,7746.4
sealfs,7746.2
sealfs,7746.17
sealfs,7745.89
sealfs,7745.79
sealfs,7745.74
sealfs,7745.64
ext4,7745.39
sealfs,7744.93
sealfs,7744.69
sealfs,7744.43
sealfs,7744.34
sealfs,7744.17
sealfs,7743.98
sealfs,7743.85
sealfs,7743.76
sealfs,7743.28
sealfs,7743.2
sealfs,7743.03
sealfs,7743.01
sealfs,7742.84
ext4,7742.64
sealfs,7742.61
sealfs,7742.29
ext4,7741.56
sealfs,7741.47
sealfs,7741.23
sealfs,7741.17
sealfs,7741.13
ext4,7740.94
sealfs,7740.87
sealfs,7740.75
sealfs,7740.75
sealfs,7740.3
sealfs,7740.14
ext4,7739.77
sealfs,7739.62
sealfs,7739.45
sealfs,7739.16
sealfs,7739.09
sealfs,7739
sealfs,7738.61
ext4,7738.5
sealfs,7738.21
ext4,7738.18
sealfs,7737.56
sealfs,7736.68
sealfs,7736.52
ext4,7736.24
sealfs,7736.22
ext4,7736.15
sealfs,7735.86
sealfs,7735.66
ext4,7735.61
sealfs,7735.26
sealfs,7735.24
sealfs,7735.01
ext4,7734.44
sealfs,7734.41
sealfs,7734.33
