Throughput on Video Test,Bandwidth (kB/s)
summit_ext4,10203.6
summit_ext4,10203.46
summit_ext4,10203.38
summit_ext4,10202.38
summit_ext4,10201.67
summit_ext4,10201.55
summit_ext4,10201.04
summit_ext4,10200.9
summit_ext4,10200.85
summit_ext4,10200.17
summit_ext4,10200.12
summit_ext4,10199.98
summit_ext4,10199.76
summit_ext4,10199.61
summit_ext4,10198.91
summit_ext4,10198.52
summit_ext4,10198.48
summit_ext4,10198.46
summit_ext4,10198.41
summit_ext4,10197.5
summit_ext4,10197.39
summit_ext4,10197.35
summit_ext4,10197.31
summit_ext4,10197.05
summit_ext4,10196.56
summit_ext4,10196.05
summit_ext4,10195.79
summit_ext4,10195.73
summit_ext4,10195.4
summit_sealfs,10192.72
summit_ext4,10191.93
summit_sealfs,10191.59
summit_sealfs,10190.23
summit_ext4,10189.9
summit_ext4,10189.64
summit_ext4,10189.54
summit_ext4,10189.16
summit_ext4,10186.92
summit_ext4,10186.33
summit_ext4,10186.21
summit_ext4,10186.21
summit_ext4,10186.18
summit_ext4,10185.87
summit_ext4,10184
summit_ext4,10183.42
summit_ext4,10183.37
summit_sealfs,10183.25
summit_ext4,10183.19
summit_ext4,10182.81
summit_ext4,10181.19
summit_ext4,10180.96
summit_ext4,10180.42
summit_ext4,10179.91
summit_ext4,10179.51
summit_ext4,10179.22
summit_ext4,10178.44
summit_ext4,10177.85
summit_ext4,10177.55
summit_ext4,10177.32
summit_sealfs,10177.22
summit_ext4,10176.52
summit_ext4,10176.13
summit_ext4,10175.8
summit_sealfs,10175.71
summit_ext4,10175.55
summit_ext4,10175.41
summit_ext4,10174.79
summit_ext4,10174.05
summit_ext4,10173.85
summit_ext4,10173.28
summit_ext4,10172.42
summit_sealfs,10171.7
summit_ext4,10171.47
summit_ext4,10171.39
summit_ext4,10171.09
summit_ext4,10170.73
summit_ext4,10169.9
summit_ext4,10169.66
summit_ext4,10169.14
summit_ext4,10169.01
summit_ext4,10168.77
summit_ext4,10168.51
summit_ext4,10167.92
summit_ext4,10167.32
summit_ext4,10166.84
summit_ext4,10166.76
summit_ext4,10166.12
summit_ext4,10165.74
summit_ext4,10165.43
summit_ext4,10165.4
summit_ext4,10165.28
summit_ext4,10165.21
summit_ext4,10164.72
summit_ext4,10163.09
summit_ext4,10161.65
summit_ext4,10161.43
summit_ext4,10161.4
summit_ext4,10160.34
summit_ext4,10160.2
summit_ext4,10159.12
summit_ext4,10158.35
summit_ext4,10158.16
summit_ext4,10157.95
summit_sealfs,10157.29
summit_ext4,10156.08
summit_ext4,10155.41
summit_ext4,10154.05
summit_ext4,10153.68
summit_ext4,10153.37
summit_ext4,10153.25
summit_ext4,10153.25
summit_ext4,10153.17
summit_ext4,10152.48
summit_ext4,10151.75
summit_ext4,10151.05
summit_ext4,10150.93
summit_ext4,10150.1
summit_ext4,10149.99
summit_ext4,10149.52
summit_ext4,10149.28
summit_ext4,10148.69
summit_sealfs,10148.47
summit_ext4,10146.83
summit_ext4,10146.55
summit_ext4,10146.53
summit_ext4,10146.29
summit_ext4,10145.93
summit_ext4,10145.46
summit_ext4,10144.41
summit_ext4,10143.43
summit_ext4,10143.4
summit_ext4,10143.25
summit_ext4,10143.06
summit_ext4,10142.07
summit_ext4,10141.66
summit_ext4,10141.31
summit_ext4,10140.56
summit_sealfs,10140.13
summit_ext4,10138.83
summit_ext4,10138.82
summit_ext4,10138.77
summit_ext4,10138.61
summit_ext4,10138.45
summit_ext4,10138.07
summit_ext4,10137.88
summit_ext4,10137.65
summit_ext4,10137.63
summit_sealfs,10137.34
summit_ext4,10135.06
summit_ext4,10134.79
summit_ext4,10134.59
summit_ext4,10133.07
summit_ext4,10132.41
summit_sealfs,10131.17
summit_ext4,10130.47
summit_ext4,10130.42
summit_ext4,10129.67
summit_sealfs,10129.25
summit_sealfs,10129.25
summit_ext4,10128.61
summit_sealfs,10128.19
summit_sealfs,10128.04
summit_sealfs,10127.95
summit_ext4,10127.87
summit_sealfs,10126.6
summit_sealfs,10126.59
summit_sealfs,10125.62
summit_sealfs,10125.36
summit_ext4,10124.86
summit_sealfs,10124.73
summit_ext4,10124.63
summit_ext4,10124.28
summit_sealfs,10124.22
summit_ext4,10124.13
summit_sealfs,10123.97
summit_ext4,10123.76
summit_sealfs,10123.66
summit_sealfs,10123.07
summit_ext4,10122.71
summit_ext4,10122.61
summit_sealfs,10122.48
summit_ext4,10122.25
summit_sealfs,10122.23
summit_ext4,10122.12
summit_ext4,10122.07
summit_sealfs,10121.05
summit_sealfs,10120.58
summit_ext4,10120.47
summit_ext4,10120.27
summit_sealfs,10119.69
summit_ext4,10119.26
summit_sealfs,10119.15
summit_sealfs,10119.07
summit_sealfs,10118.92
summit_sealfs,10118.61
summit_ext4,10117.99
summit_ext4,10117.41
summit_sealfs,10117.38
summit_ext4,10117.02
summit_sealfs,10116.97
summit_sealfs,10116.96
summit_sealfs,10116.42
summit_ext4,10116.38
summit_ext4,10115.71
summit_sealfs,10115.67
summit_sealfs,10115.61
summit_sealfs,10115.36
summit_sealfs,10115.11
summit_sealfs,10114.95
summit_sealfs,10114.75
summit_ext4,10114.58
summit_sealfs,10114.55
summit_sealfs,10114.4
summit_ext4,10114.19
summit_sealfs,10113.72
summit_ext4,10113.59
summit_sealfs,10113.54
summit_ext4,10113.39
summit_sealfs,10113.05
summit_sealfs,10113.04
summit_ext4,10112.89
summit_sealfs,10112.1
summit_ext4,10112.05
summit_ext4,10111.93
summit_ext4,10111.43
summit_sealfs,10111.42
summit_sealfs,10111.15
summit_sealfs,10111.13
summit_sealfs,10110.81
summit_sealfs,10110.36
summit_sealfs,10110.06
summit_sealfs,10109.85
summit_ext4,10109.62
summit_sealfs,10109.54
summit_sealfs,10109.42
summit_sealfs,10109.35
summit_sealfs,10109.28
summit_sealfs,10109.12
summit_sealfs,10108.49
summit_sealfs,10108.37
summit_sealfs,10108.06
summit_ext4,10108.02
summit_sealfs,10107.99
summit_ext4,10107.96
summit_sealfs,10107.96
summit_sealfs,10107.82
summit_sealfs,10107.71
summit_sealfs,10107.42
summit_ext4,10107.23
summit_sealfs,10107.19
summit_ext4,10106.96
summit_sealfs,10106.96
summit_sealfs,10106.95
summit_sealfs,10106.91
summit_sealfs,10106.82
summit_ext4,10106.79
summit_sealfs,10106.48
summit_ext4,10106.18
summit_sealfs,10106.11
summit_sealfs,10106.01
summit_sealfs,10106
summit_sealfs,10105.99
summit_sealfs,10105.8
summit_sealfs,10105.44
summit_ext4,10105.33
summit_sealfs,10104.97
summit_ext4,10104.91
summit_sealfs,10104.79
summit_ext4,10104.51
summit_ext4,10104.43
summit_sealfs,10104.19
summit_ext4,10104.08
summit_sealfs,10103.94
summit_sealfs,10103.78
summit_sealfs,10103.69
summit_ext4,10103.67
summit_sealfs,10103.45
summit_ext4,10103.39
summit_ext4,10103.3
summit_ext4,10103.05
summit_sealfs,10102.89
summit_sealfs,10102.78
summit_sealfs,10102.77
summit_sealfs,10102.75
summit_sealfs,10102.53
summit_sealfs,10102.49
summit_ext4,10102.45
summit_ext4,10102.44
summit_sealfs,10102.2
summit_ext4,10102.09
summit_ext4,10102.09
summit_sealfs,10102.04
summit_ext4,10101.97
summit_ext4,10101.87
summit_ext4,10101.82
summit_sealfs,10101.71
summit_ext4,10101.32
summit_ext4,10101.13
summit_sealfs,10100.92
summit_ext4,10100.78
summit_sealfs,10100.58
summit_ext4,10100.44
summit_sealfs,10100.32
summit_sealfs,10100.16
summit_sealfs,10100.13
summit_sealfs,10100.08
summit_ext4,10099.81
summit_ext4,10099.64
summit_sealfs,10099.47
summit_ext4,10099.45
summit_sealfs,10099.36
summit_ext4,10099.27
summit_sealfs,10099.19
summit_ext4,10099.17
