Throughput on Navigation Test,bandwidth (kB/s)
tiago_ext4,7.47
tiago_ext4,7.52
tiago_ext4,7.49
tiago_ext4,7.54
tiago_ext4,7.54
tiago_ext4,11.26
tiago_ext4,7.53
tiago_ext4,7.47
tiago_ext4,7.52
tiago_ext4,11.08
tiago_ext4,7.55
tiago_ext4,3.69
tiago_ext4,7.51
tiago_ext4,7.46
tiago_ext4,7.44
tiago_ext4,11.09
tiago_ext4,7.51
tiago_ext4,7.41
tiago_ext4,7.52
tiago_ext4,7.53
tiago_ext4,7.51
tiago_ext4,11.27
tiago_ext4,7.53
tiago_ext4,7.57
tiago_ext4,7.58
tiago_sealfs,7.56
tiago_sealfs,7.54
tiago_sealfs,7.5
tiago_sealfs,7.54
tiago_sealfs,7.53
tiago_sealfs,7.39
tiago_sealfs,15.09
tiago_sealfs,7.5
tiago_sealfs,7.55
tiago_sealfs,7.53
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.5
tiago_sealfs,7.54
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,7.5
tiago_sealfs,7.52
tiago_sealfs,7.52
tiago_sealfs,7.52
tiago_sealfs,15.06
tiago_sealfs,7.53
tiago_sealfs,3.73
tiago_sealfs,7.48
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,7.52
tiago_sealfs,7.5
tiago_sealfs,7.39
tiago_sealfs,15.06
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.52
tiago_sealfs,7.51
tiago_sealfs,7.52
tiago_sealfs,7.51
tiago_sealfs,14.77
tiago_sealfs,7.54
tiago_sealfs,7.52
tiago_sealfs,14.97
tiago_sealfs,7.52
tiago_sealfs,7.45
tiago_sealfs,7.52
tiago_sealfs,7.52
tiago_sealfs,7.55
tiago_sealfs,7.53
tiago_sealfs,7.53
tiago_sealfs,7.53
tiago_sealfs,11.28
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,7.52
tiago_sealfs,15.04
tiago_sealfs,7.43
tiago_sealfs,7.53
tiago_sealfs,3.76
tiago_sealfs,7.42
tiago_sealfs,7.53
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.51
tiago_sealfs,7.52
tiago_sealfs,7.54
tiago_sealfs,7.51
tiago_sealfs,14.96
tiago_sealfs,7.54
tiago_sealfs,7.4
tiago_sealfs,7.52
tiago_sealfs,7.3
tiago_sealfs,15.05
tiago_sealfs,7.55
tiago_sealfs,7.54
tiago_sealfs,7.54
tiago_sealfs,7.58
tiago_sealfs,7.59
tiago_sealfs,7.51
tiago_sealfs,7.49
tiago_sealfs,7.51
tiago_sealfs,7.44
tiago_sealfs,7.54
tiago_sealfs,7.52
tiago_sealfs,11.29
tiago_sealfs,3.74
tiago_sealfs,7.51
tiago_sealfs,15.01
tiago_sealfs,7.51
tiago_sealfs,7.53
tiago_sealfs,7.49
tiago_sealfs,7.44
tiago_sealfs,15.07
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.43
tiago_sealfs,7.37
tiago_sealfs,7.49
tiago_sealfs,7.5
tiago_sealfs,7.52
tiago_sealfs,7.51
tiago_sealfs,7.52
