# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 7) + 38.059 us   |  sealfs_write [sealfs]();
 7) + 79.767 us   |  sealfs_write [sealfs]();
 1) + 34.763 us   |  sealfs_write [sealfs]();
 1) + 73.075 us   |  sealfs_write [sealfs]();
 1) + 42.537 us   |  sealfs_write [sealfs]();
 1) + 85.580 us   |  sealfs_write [sealfs]();
 1) + 41.613 us   |  sealfs_write [sealfs]();
 1) ! 127.291 us  |  sealfs_write [sealfs]();
 1) + 38.125 us   |  sealfs_write [sealfs]();
 1) + 80.016 us   |  sealfs_write [sealfs]();
 7) + 36.926 us   |  sealfs_write [sealfs]();
 7) + 74.803 us   |  sealfs_write [sealfs]();
 1) + 52.820 us   |  sealfs_write [sealfs]();
 1) ! 130.033 us  |  sealfs_write [sealfs]();
 1) ! 106.765 us  |  sealfs_write [sealfs]();
 1) + 38.861 us   |  sealfs_write [sealfs]();
 1) + 81.325 us   |  sealfs_write [sealfs]();
 1) + 38.210 us   |  sealfs_write [sealfs]();
 1) + 73.660 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 0) (openvp-552837 => ros1sea-551314
 ------------------------------------------

 0) + 36.105 us   |  sealfs_write [sealfs]();
 0) + 74.387 us   |  sealfs_write [sealfs]();
 2) + 41.314 us   |  sealfs_write [sealfs]();
 2) + 76.134 us   |  sealfs_write [sealfs]();
 7) + 42.722 us   |  sealfs_write [sealfs]();
 7) + 82.360 us   |  sealfs_write [sealfs]();
 7) ! 101.889 us  |  sealfs_write [sealfs]();
 7) + 38.623 us   |  sealfs_write [sealfs]();
 7) + 78.754 us   |  sealfs_write [sealfs]();
 7) + 37.975 us   |  sealfs_write [sealfs]();
 7) + 74.041 us   |  sealfs_write [sealfs]();
 7) + 44.482 us   |  sealfs_write [sealfs]();
 7) + 74.961 us   |  sealfs_write [sealfs]();
 6) + 33.664 us   |  sealfs_write [sealfs]();
 6) + 83.755 us   |  sealfs_write [sealfs]();
 6) + 49.323 us   |  sealfs_write [sealfs]();
 6) + 73.619 us   |  sealfs_write [sealfs]();
 6) + 97.637 us   |  sealfs_write [sealfs]();
 4) + 40.530 us   |  sealfs_write [sealfs]();
 4) + 87.787 us   |  sealfs_write [sealfs]();
 4) + 39.599 us   |  sealfs_write [sealfs]();
