TiAGO Latency on Audio Test,time (uS)
sealfs_write,126.11
sealfs_write,126.1
sealfs_write,126.08
sealfs_write,126.071
sealfs_write,126.035
sealfs_write,126.034
sealfs_write,126.007
sealfs_write,126.006
sealfs_write,126
sealfs_write,125.953
sealfs_write,125.93
sealfs_write,125.924
sealfs_write,125.918
sealfs_write,125.917
sealfs_write,125.916
sealfs_write,125.877
sealfs_write,125.871
sealfs_write,125.804
sealfs_write,125.76
sealfs_write,125.754
sealfs_write,125.75
sealfs_write,125.726
sealfs_write,125.716
sealfs_write,125.713
sealfs_write,125.694
sealfs_write,125.679
sealfs_write,125.645
sealfs_write,125.644
sealfs_write,125.622
sealfs_write,125.586
sealfs_write,125.581
sealfs_write,125.572
sealfs_write,125.566
sealfs_write,125.55
sealfs_write,125.544
sealfs_write,125.483
sealfs_write,125.447
sealfs_write,125.442
sealfs_write,125.377
sealfs_write,125.365
sealfs_write,125.352
sealfs_write,125.302
sealfs_write,125.287
sealfs_write,125.271
sealfs_write,125.238
sealfs_write,125.188
sealfs_write,125.163
sealfs_write,125.15
sealfs_write,125.127
sealfs_write,125.118
sealfs_write,125.081
sealfs_write,125.04
sealfs_write,125.028
sealfs_write,125.025
sealfs_write,125.02
sealfs_write,124.974
sealfs_write,124.913
sealfs_write,124.911
sealfs_write,124.909
sealfs_write,124.85
sealfs_write,124.784
sealfs_write,124.751
sealfs_write,124.747
sealfs_write,124.714
sealfs_write,124.712
sealfs_write,124.707
sealfs_write,124.676
sealfs_write,124.638
sealfs_write,124.633
sealfs_write,124.626
sealfs_write,124.576
sealfs_write,124.575
ext4_write,124.556
sealfs_write,124.502
sealfs_write,124.497
sealfs_write,124.489
sealfs_write,124.484
sealfs_write,124.478
sealfs_write,124.468
sealfs_write,124.465
sealfs_write,124.459
sealfs_write,124.408
sealfs_write,124.388
sealfs_write,124.36
sealfs_write,124.333
sealfs_write,124.262
sealfs_write,124.257
ext4_write,124.25
sealfs_write,124.25
sealfs_write,124.245
sealfs_write,124.191
sealfs_write,124.168
sealfs_write,124.154
sealfs_write,124.114
sealfs_write,124.096
sealfs_write,124.076
sealfs_write,124.075
sealfs_write,124.002
sealfs_write,123.965
sealfs_write,123.961
sealfs_write,123.955
sealfs_write,123.951
sealfs_write,123.937
sealfs_write,123.908
sealfs_write,123.884
sealfs_write,123.854
sealfs_write,123.826
sealfs_write,123.824
sealfs_write,123.794
sealfs_write,123.761
sealfs_write,123.744
sealfs_write,123.681
sealfs_write,123.674
sealfs_write,123.654
sealfs_write,123.621
sealfs_write,123.605
sealfs_write,123.56
sealfs_write,123.529
sealfs_write,123.483
sealfs_write,123.444
sealfs_write,123.442
sealfs_write,123.44
ext4_write,123.431
sealfs_write,123.414
sealfs_write,123.387
sealfs_write,123.351
sealfs_write,123.345
sealfs_write,123.328
sealfs_write,123.273
sealfs_write,123.241
sealfs_write,123.23
sealfs_write,123.191
sealfs_write,123.186
sealfs_write,123.175
sealfs_write,123.174
sealfs_write,123.148
sealfs_write,123.131
sealfs_write,123.119
sealfs_write,123.109
sealfs_write,123.089
sealfs_write,123.067
sealfs_write,123.045
sealfs_write,123.044
sealfs_write,122.994
sealfs_write,122.983
sealfs_write,122.968
sealfs_write,122.925
sealfs_write,122.921
sealfs_write,122.886
sealfs_write,122.878
sealfs_write,122.865
sealfs_write,122.864
sealfs_write,122.811
sealfs_write,122.729
sealfs_write,122.694
sealfs_write,122.659
sealfs_write,122.61
sealfs_write,122.598
sealfs_write,122.554
sealfs_write,122.546
sealfs_write,122.517
sealfs_write,122.494
sealfs_write,122.481
sealfs_write,122.479
sealfs_write,122.475
sealfs_write,122.452
sealfs_write,122.444
sealfs_write,122.43
sealfs_write,122.423
sealfs_write,122.416
sealfs_write,122.401
sealfs_write,122.392
sealfs_write,122.373
sealfs_write,122.347
sealfs_write,122.341
sealfs_write,122.335
sealfs_write,122.321
sealfs_write,122.31
sealfs_write,122.259
sealfs_write,122.253
sealfs_write,122.225
sealfs_write,122.182
sealfs_write,122.181
sealfs_write,122.156
sealfs_write,122.154
sealfs_write,122.149
sealfs_write,122.132
sealfs_write,122.131
sealfs_write,122.1
sealfs_write,122.06
sealfs_write,122.046
sealfs_write,122.046
sealfs_write,122.037
sealfs_write,121.999
sealfs_write,121.992
sealfs_write,121.986
sealfs_write,121.984
sealfs_write,121.98
sealfs_write,121.92
sealfs_write,121.866
sealfs_write,121.833
sealfs_write,121.81
sealfs_write,121.806
sealfs_write,121.794
sealfs_write,121.791
sealfs_write,121.775
sealfs_write,121.768
sealfs_write,121.749
sealfs_write,121.736
sealfs_write,121.73
sealfs_write,121.722
sealfs_write,121.709
sealfs_write,121.695
sealfs_write,121.648
sealfs_write,121.57
sealfs_write,121.569
sealfs_write,121.564
sealfs_write,121.519
sealfs_write,121.479
sealfs_write,121.388
sealfs_write,121.375
sealfs_write,121.37
sealfs_write,121.36
sealfs_write,121.338
sealfs_write,121.327
sealfs_write,121.313
sealfs_write,121.3
sealfs_write,121.252
sealfs_write,121.238
sealfs_write,121.224
sealfs_write,121.219
sealfs_write,121.209
sealfs_write,121.207
sealfs_write,121.206
sealfs_write,121.194
sealfs_write,121.194
sealfs_write,121.173
sealfs_write,121.132
sealfs_write,121.127
sealfs_write,121.099
sealfs_write,121.086
sealfs_write,121.043
sealfs_write,121.041
sealfs_write,120.981
sealfs_write,120.981
sealfs_write,120.952
sealfs_write,120.933
sealfs_write,120.927
sealfs_write,120.914
sealfs_write,120.913
sealfs_write,120.903
sealfs_write,120.892
