Latency on Video Test,time (μs)
tiago_sealfs_write,15850.9
summit_sealfs_write,15849.21
summit_sealfs_write,15833.33
summit_sealfs_write,15823.01
summit_sealfs_write,15817.44
tiago_sealfs_write,15813.47
summit_sealfs_write,15811.52
tiago_ext4_write,15794.13
summit_sealfs_write,15779.12
tiago_sealfs_write,15773.03
summit_sealfs_write,15772.83
summit_sealfs_write,15770.77
tiago_ext4_write,15770.32
summit_sealfs_write,15768.7
summit_sealfs_write,15766.56
tiago_sealfs_write,15750.8
tiago_sealfs_write,15745.55
summit_sealfs_write,15734.36
summit_sealfs_write,15732.77
summit_sealfs_write,15732.6
tiago_sealfs_write,15729.21
summit_sealfs_write,15725.75
tiago_sealfs_write,15721.54
summit_sealfs_write,15701.78
summit_sealfs_write,15701.2
summit_sealfs_write,15697.15
summit_sealfs_write,15692.32
summit_sealfs_write,15692.14
summit_sealfs_write,15687.08
summit_sealfs_write,15675.17
summit_sealfs_write,15673.67
summit_sealfs_write,15672.15
summit_sealfs_write,15668.57
tiago_sealfs_write,15667.99
summit_sealfs_write,15667.93
summit_sealfs_write,15667.75
summit_sealfs_write,15666.91
summit_sealfs_write,15666.68
summit_sealfs_write,15666.6
summit_sealfs_write,15665.54
summit_sealfs_write,15662.11
tiago_sealfs_write,15660.31
summit_sealfs_write,15656.86
summit_sealfs_write,15650.67
summit_sealfs_write,15647.71
summit_sealfs_write,15644.16
summit_sealfs_write,15639.73
tiago_sealfs_write,15638.79
summit_sealfs_write,15638.09
summit_sealfs_write,15634.01
summit_sealfs_write,15634
summit_sealfs_write,15633.67
summit_sealfs_write,15630.66
tiago_sealfs_write,15630.36
summit_sealfs_write,15626.62
tiago_ext4_write,15623.45
summit_sealfs_write,15618.38
summit_sealfs_write,15618.03
summit_sealfs_write,15617.59
summit_sealfs_write,15617.43
summit_sealfs_write,15608.31
summit_sealfs_write,15607.94
summit_sealfs_write,15606.76
summit_sealfs_write,15602.4
summit_sealfs_write,15600.99
summit_sealfs_write,15599.1
