Latency on Navigation Test,time (μs)
tiago_ext4_write,19.576
tiago_ext4_write,19.561
tiago_ext4_write,19.522
tiago_ext4_write,19.503
tiago_ext4_write,19.463
tiago_ext4_write,19.453
tiago_ext4_write,19.405
tiago_ext4_write,19.299
tiago_ext4_write,19.295
tiago_ext4_write,19.282
tiago_ext4_write,19.225
tiago_ext4_write,19.117
tiago_ext4_write,19.111
tiago_ext4_write,19.05
tiago_ext4_write,19.019
tiago_ext4_write,18.95
tiago_ext4_write,18.909
tiago_ext4_write,18.785
tiago_ext4_write,18.713
tiago_ext4_write,18.711
tiago_ext4_write,18.689
tiago_ext4_write,18.612
tiago_ext4_write,18.579
tiago_ext4_write,18.538
tiago_ext4_write,18.499
tiago_ext4_write,18.492
tiago_ext4_write,18.457
tiago_ext4_write,18.439
tiago_ext4_write,18.433
tiago_ext4_write,18.421
tiago_ext4_write,18.419
tiago_ext4_write,18.401
tiago_ext4_write,18.38
tiago_ext4_write,18.364
tiago_ext4_write,18.31
tiago_ext4_write,18.302
tiago_ext4_write,18.286
tiago_ext4_write,18.252
tiago_ext4_write,18.233
tiago_ext4_write,18.196
tiago_ext4_write,18.178
tiago_ext4_write,18.145
tiago_ext4_write,18.136
tiago_ext4_write,18.128
tiago_ext4_write,18.041
tiago_ext4_write,18.037
tiago_ext4_write,17.998
tiago_ext4_write,17.983
tiago_ext4_write,17.943
tiago_ext4_write,17.921
tiago_ext4_write,17.884
tiago_ext4_write,17.853
tiago_ext4_write,17.841
tiago_ext4_write,17.833
tiago_ext4_write,17.806
tiago_ext4_write,17.785
tiago_ext4_write,17.698
tiago_ext4_write,17.671
tiago_ext4_write,17.612
tiago_ext4_write,17.604
tiago_ext4_write,17.6
tiago_ext4_write,17.58
tiago_ext4_write,17.566
tiago_ext4_write,17.555
tiago_ext4_write,17.44
tiago_ext4_write,17.431
tiago_ext4_write,17.428
tiago_ext4_write,17.366
tiago_ext4_write,17.349
tiago_ext4_write,17.304
tiago_ext4_write,17.272
tiago_ext4_write,17.266
tiago_ext4_write,17.155
tiago_ext4_write,17.05
tiago_ext4_write,16.99
tiago_ext4_write,16.875
tiago_ext4_write,16.774
tiago_ext4_write,16.725
tiago_ext4_write,16.722
tiago_ext4_write,16.689
tiago_ext4_write,16.682
tiago_ext4_write,16.601
tiago_ext4_write,16.505
tiago_ext4_write,16.377
tiago_ext4_write,16.372
tiago_ext4_write,16.327
tiago_ext4_write,16.29
tiago_ext4_write,16.283
tiago_ext4_write,16.267
tiago_ext4_write,16.239
tiago_ext4_write,16.189
tiago_ext4_write,16.169
tiago_ext4_write,16.054
tiago_ext4_write,15.948
tiago_ext4_write,15.918
tiago_ext4_write,15.905
tiago_ext4_write,15.873
tiago_ext4_write,15.87
tiago_ext4_write,15.798
tiago_ext4_write,15.76
tiago_ext4_write,15.74
tiago_ext4_write,15.717
tiago_ext4_write,15.684
tiago_ext4_write,15.679
tiago_ext4_write,15.64
tiago_ext4_write,15.615
tiago_ext4_write,15.564
tiago_ext4_write,15.553
tiago_ext4_write,15.541
tiago_ext4_write,15.495
tiago_ext4_write,15.437
tiago_ext4_write,15.349
tiago_ext4_write,15.281
tiago_ext4_write,15.276
tiago_ext4_write,15.245
tiago_ext4_write,15.205
tiago_ext4_write,15.158
tiago_ext4_write,15.152
tiago_ext4_write,15.077
tiago_ext4_write,15.024
tiago_ext4_write,14.997
tiago_ext4_write,14.993
tiago_ext4_write,14.992
tiago_ext4_write,14.951
tiago_ext4_write,14.924
tiago_ext4_write,14.891
tiago_ext4_write,14.889
tiago_ext4_write,14.86
tiago_ext4_write,14.848
tiago_ext4_write,14.845
tiago_ext4_write,14.829
tiago_ext4_write,14.785
tiago_ext4_write,14.762
tiago_ext4_write,14.753
tiago_ext4_write,14.68
tiago_ext4_write,14.644
tiago_ext4_write,14.639
tiago_ext4_write,14.553
tiago_ext4_write,14.482
tiago_ext4_write,14.468
tiago_ext4_write,14.395
tiago_ext4_write,14.365
tiago_ext4_write,14.35
tiago_ext4_write,14.349
tiago_ext4_write,14.249
tiago_ext4_write,14.239
tiago_ext4_write,14.224
tiago_ext4_write,14.202
tiago_ext4_write,14.181
tiago_ext4_write,14.172
tiago_ext4_write,14.16
tiago_ext4_write,14.153
tiago_ext4_write,14.143
tiago_ext4_write,14.133
tiago_ext4_write,14.073
tiago_ext4_write,14.026
tiago_ext4_write,13.942
tiago_ext4_write,13.941
tiago_ext4_write,13.938
tiago_ext4_write,13.91
tiago_ext4_write,13.824
tiago_ext4_write,13.801
tiago_ext4_write,13.793
tiago_ext4_write,13.78
tiago_ext4_write,13.751
tiago_ext4_write,13.748
tiago_ext4_write,13.668
tiago_ext4_write,13.659
tiago_ext4_write,13.659
tiago_ext4_write,13.63
tiago_ext4_write,13.614
tiago_ext4_write,13.559
tiago_ext4_write,13.539
tiago_ext4_write,13.528
tiago_ext4_write,13.521
tiago_ext4_write,13.49
tiago_ext4_write,13.488
tiago_ext4_write,13.477
tiago_ext4_write,13.456
tiago_ext4_write,13.428
tiago_ext4_write,13.416
tiago_ext4_write,13.412
tiago_ext4_write,13.393
tiago_ext4_write,13.379
tiago_ext4_write,13.361
tiago_ext4_write,13.28
tiago_ext4_write,13.258
tiago_ext4_write,13.234
tiago_ext4_write,13.226
tiago_ext4_write,13.19
tiago_ext4_write,13.149
tiago_ext4_write,13.128
tiago_ext4_write,13.03
tiago_ext4_write,13.023
tiago_ext4_write,13.009
tiago_ext4_write,12.978
tiago_ext4_write,12.953
tiago_ext4_write,12.943
tiago_ext4_write,12.941
tiago_ext4_write,12.941
tiago_ext4_write,12.931
