# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  8) + 67.671 us   |  sealfs_write [sealfs]();
  8) + 72.729 us   |  sealfs_write [sealfs]();
  8) + 71.514 us   |  sealfs_write [sealfs]();
  8) + 73.230 us   |  sealfs_write [sealfs]();
  8) + 71.153 us   |  sealfs_write [sealfs]();
  8) + 75.788 us   |  sealfs_write [sealfs]();
  8) + 67.436 us   |  sealfs_write [sealfs]();
  8) + 69.334 us   |  sealfs_write [sealfs]();
  8) + 75.333 us   |  sealfs_write [sealfs]();
  8) + 75.637 us   |  sealfs_write [sealfs]();
  8) + 69.803 us   |  sealfs_write [sealfs]();
  8) + 82.449 us   |  sealfs_write [sealfs]();
  8) + 72.183 us   |  sealfs_write [sealfs]();
  8) + 81.570 us   |  sealfs_write [sealfs]();
  8) + 67.459 us   |  sealfs_write [sealfs]();
  8) + 77.443 us   |  sealfs_write [sealfs]();
  8) # 6721.314 us |  sealfs_write [sealfs]();
  8) + 70.915 us   |  sealfs_write [sealfs]();
  8) + 66.762 us   |  sealfs_write [sealfs]();
  8) + 75.331 us   |  sealfs_write [sealfs]();
  8) + 68.791 us   |  sealfs_write [sealfs]();
  8) + 72.670 us   |  sealfs_write [sealfs]();
  8) + 66.981 us   |  sealfs_write [sealfs]();
  8) + 70.497 us   |  sealfs_write [sealfs]();
  8) + 70.271 us   |  sealfs_write [sealfs]();
  8) + 70.660 us   |  sealfs_write [sealfs]();
  8) + 66.317 us   |  sealfs_write [sealfs]();
  8) + 73.202 us   |  sealfs_write [sealfs]();
  8) + 65.556 us   |  sealfs_write [sealfs]();
  8) + 73.373 us   |  sealfs_write [sealfs]();
  8) + 71.775 us   |  sealfs_write [sealfs]();
  8) + 73.212 us   |  sealfs_write [sealfs]();
  8) + 69.443 us   |  sealfs_write [sealfs]();
  8) + 74.267 us   |  sealfs_write [sealfs]();
 12) + 77.355 us   |  sealfs_write [sealfs]();
 12) + 68.718 us   |  sealfs_write [sealfs]();
 12) + 67.954 us   |  sealfs_write [sealfs]();
 12) + 73.832 us   |  sealfs_write [sealfs]();
 12) + 68.785 us   |  sealfs_write [sealfs]();
 12) + 72.131 us   |  sealfs_write [sealfs]();
 12) + 70.952 us   |  sealfs_write [sealfs]();
 12) + 73.049 us   |  sealfs_write [sealfs]();
 12) + 66.953 us   |  sealfs_write [sealfs]();
 12) + 72.963 us   |  sealfs_write [sealfs]();
 12) + 69.507 us   |  sealfs_write [sealfs]();
 12) + 70.751 us   |  sealfs_write [sealfs]();
 12) + 65.061 us   |  sealfs_write [sealfs]();
 12) + 70.547 us   |  sealfs_write [sealfs]();
 12) + 67.976 us   |  sealfs_write [sealfs]();
 12) + 72.784 us   |  sealfs_write [sealfs]();
 12) + 70.365 us   |  sealfs_write [sealfs]();
 12) + 75.917 us   |  sealfs_write [sealfs]();
 12) + 71.967 us   |  sealfs_write [sealfs]();
 12) + 76.047 us   |  sealfs_write [sealfs]();
 12) + 70.077 us   |  sealfs_write [sealfs]();
 12) + 73.074 us   |  sealfs_write [sealfs]();
 12) + 68.639 us   |  sealfs_write [sealfs]();
 12) + 72.025 us   |  sealfs_write [sealfs]();
 12) + 65.540 us   |  sealfs_write [sealfs]();
 12) + 74.484 us   |  sealfs_write [sealfs]();
 12) + 67.145 us   |  sealfs_write [sealfs]();
 12) + 70.470 us   |  sealfs_write [sealfs]();
 12) + 65.630 us   |  sealfs_write [sealfs]();
 12) + 71.631 us   |  sealfs_write [sealfs]();
 12) + 69.194 us   |  sealfs_write [sealfs]();
 12) + 72.019 us   |  sealfs_write [sealfs]();
 12) + 71.763 us   |  sealfs_write [sealfs]();
 12) + 70.618 us   |  sealfs_write [sealfs]();
 12) + 70.058 us   |  sealfs_write [sealfs]();
 12) + 72.826 us   |  sealfs_write [sealfs]();
 12) + 70.869 us   |  sealfs_write [sealfs]();
 12) + 76.039 us   |  sealfs_write [sealfs]();
 12) + 69.563 us   |  sealfs_write [sealfs]();
 12) + 71.596 us   |  sealfs_write [sealfs]();
 12) + 72.171 us   |  sealfs_write [sealfs]();
 12) + 72.208 us   |  sealfs_write [sealfs]();
 12) + 69.575 us   |  sealfs_write [sealfs]();
 12) + 74.614 us   |  sealfs_write [sealfs]();
 12) + 67.010 us   |  sealfs_write [sealfs]();
 12) + 73.590 us   |  sealfs_write [sealfs]();
 12) + 67.609 us   |  sealfs_write [sealfs]();
 12) + 73.505 us   |  sealfs_write [sealfs]();
 12) + 66.598 us   |  sealfs_write [sealfs]();
 12) + 77.257 us   |  sealfs_write [sealfs]();
 12) + 66.475 us   |  sealfs_write [sealfs]();
 12) + 74.666 us   |  sealfs_write [sealfs]();
 12) + 70.880 us   |  sealfs_write [sealfs]();
 12) + 73.406 us   |  sealfs_write [sealfs]();
 12) + 65.474 us   |  sealfs_write [sealfs]();
 12) + 78.640 us   |  sealfs_write [sealfs]();
 12) + 66.020 us   |  sealfs_write [sealfs]();
 12) + 70.926 us   |  sealfs_write [sealfs]();
 12) + 72.816 us   |  sealfs_write [sealfs]();
 12) + 73.128 us   |  sealfs_write [sealfs]();
 12) + 70.578 us   |  sealfs_write [sealfs]();
 12) + 71.784 us   |  sealfs_write [sealfs]();
 12) + 73.527 us   |  sealfs_write [sealfs]();
 12) + 72.878 us   |  sealfs_write [sealfs]();
 12) + 68.190 us   |  sealfs_write [sealfs]();
 12) + 70.877 us   |  sealfs_write [sealfs]();
 12) + 69.919 us   |  sealfs_write [sealfs]();
 12) + 72.303 us   |  sealfs_write [sealfs]();
 12) + 65.247 us   |  sealfs_write [sealfs]();
 12) + 67.020 us   |  sealfs_write [sealfs]();
 12) + 68.318 us   |  sealfs_write [sealfs]();
 12) + 70.826 us   |  sealfs_write [sealfs]();
 12) + 68.621 us   |  sealfs_write [sealfs]();
 12) + 73.047 us   |  sealfs_write [sealfs]();
 12) + 66.541 us   |  sealfs_write [sealfs]();
 12) + 71.861 us   |  sealfs_write [sealfs]();
 12) + 68.425 us   |  sealfs_write [sealfs]();
 12) + 74.195 us   |  sealfs_write [sealfs]();
 12) + 67.876 us   |  sealfs_write [sealfs]();
 12) + 73.211 us   |  sealfs_write [sealfs]();
 12) + 69.962 us   |  sealfs_write [sealfs]();
 12) + 71.505 us   |  sealfs_write [sealfs]();
 12) # 6686.353 us |  sealfs_write [sealfs]();
 12) + 69.196 us   |  sealfs_write [sealfs]();
 12) + 65.218 us   |  sealfs_write [sealfs]();
 12) + 74.810 us   |  sealfs_write [sealfs]();
 12) + 70.584 us   |  sealfs_write [sealfs]();
 12) + 69.725 us   |  sealfs_write [sealfs]();
