# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 2) + 59.583 us   |  sealfs_write [sealfs]();
 2) ! 100.735 us  |  sealfs_write [sealfs]();
 3) ! 138.374 us  |  sealfs_write [sealfs]();
 0)               |  sealfs_write [sealfs]() {
 1) ! 897.792 us  |  } /* sealfs_write [sealfs] */
 1) ! 132.291 us  |  sealfs_write [sealfs]();
 1) + 36.972 us   |  sealfs_write [sealfs]();
 1) + 74.852 us   |  sealfs_write [sealfs]();
 1) + 50.487 us   |  sealfs_write [sealfs]();
 1) + 97.677 us   |  sealfs_write [sealfs]();
 6) + 35.819 us   |  sealfs_write [sealfs]();
 6) + 77.474 us   |  sealfs_write [sealfs]();
 6) + 36.635 us   |  sealfs_write [sealfs]();
 6) + 77.915 us   |  sealfs_write [sealfs]();
 0) + 95.338 us   |  sealfs_write [sealfs]();
 ------------------------------------------
 7) ros1sea-483494 =>  <...>-485454 
 ------------------------------------------

 7)   2.604 us    |  sealfs_show_options [sealfs]();
 7)   1.005 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 1) ros1sea-483494 =>  <...>-485454 
 ------------------------------------------

 1)   1.745 us    |  sealfs_show_options [sealfs]();
 1)   0.910 us    |  sealfs_show_options [sealfs]();
 1)   0.743 us    |  sealfs_show_options [sealfs]();
 1)   0.527 us    |  sealfs_show_options [sealfs]();
 1)   0.635 us    |  sealfs_show_options [sealfs]();
 1)   0.465 us    |  sealfs_show_options [sealfs]();
 1)   0.579 us    |  sealfs_show_options [sealfs]();
 1)   0.423 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 5) ros1sea-483494 =>  <...>-485454 
 ------------------------------------------

 5)   1.365 us    |  sealfs_show_options [sealfs]();
 5)   0.429 us    |  sealfs_show_options [sealfs]();
 5)   0.625 us    |  sealfs_show_options [sealfs]();
 5)   0.541 us    |  sealfs_show_options [sealfs]();
 5)   0.550 us    |  sealfs_show_options [sealfs]();
 5)   0.569 us    |  sealfs_show_options [sealfs]();
 5)   0.610 us    |  sealfs_show_options [sealfs]();
 5)   0.409 us    |  sealfs_show_options [sealfs]();
 5)   0.503 us    |  sealfs_show_options [sealfs]();
 5)   0.450 us    |  sealfs_show_options [sealfs]();
 5)   0.541 us    |  sealfs_show_options [sealfs]();
 5)   0.401 us    |  sealfs_show_options [sealfs]();
 5)   0.567 us    |  sealfs_show_options [sealfs]();
 5)   0.529 us    |  sealfs_show_options [sealfs]();
 5)   0.558 us    |  sealfs_show_options [sealfs]();
 5)   0.554 us    |  sealfs_show_options [sealfs]();
 5)   0.555 us    |  sealfs_show_options [sealfs]();
 5)   0.452 us    |  sealfs_show_options [sealfs]();
 5)   0.560 us    |  sealfs_show_options [sealfs]();
 5)   0.415 us    |  sealfs_show_options [sealfs]();
 5)   0.521 us    |  sealfs_show_options [sealfs]();
 5)   0.441 us    |  sealfs_show_options [sealfs]();
 5)   0.505 us    |  sealfs_show_options [sealfs]();
 5)   0.403 us    |  sealfs_show_options [sealfs]();
 5)   0.709 us    |  sealfs_show_options [sealfs]();
 5)   0.459 us    |  sealfs_show_options [sealfs]();
 0) + 37.109 us   |  sealfs_write [sealfs]();
 0) + 75.004 us   |  sealfs_write [sealfs]();
 3) + 37.700 us   |  sealfs_write [sealfs]();
