# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 4)   0.570 us    |  sealfs_show_options [sealfs]();
 4)   0.580 us    |  sealfs_show_options [sealfs]();
 4)   0.507 us    |  sealfs_show_options [sealfs]();
 5) * 10921.95 us |  sealfs_write [sealfs]();
 5) * 12668.02 us |  sealfs_write [sealfs]();
 5) * 11826.01 us |  sealfs_write [sealfs]();
 5) * 11312.32 us |  sealfs_write [sealfs]();
 5) * 12830.90 us |  sealfs_write [sealfs]();
 5) * 11554.53 us |  sealfs_write [sealfs]();
 5) * 11349.45 us |  sealfs_write [sealfs]();
 5) * 11218.16 us |  sealfs_write [sealfs]();
 ------------------------------------------
 6)  <...>-364970  => ros1sea-362505
 ------------------------------------------

 6) * 11574.90 us |  sealfs_write [sealfs]();
 6) * 10742.52 us |  sealfs_write [sealfs]();
 6) * 11036.87 us |  sealfs_write [sealfs]();
 6) * 10925.58 us |  sealfs_write [sealfs]();
 ------------------------------------------
 2) (openvp-365489 =>  collect-1283 
 ------------------------------------------

 2)   2.416 us    |  sealfs_show_options [sealfs]();
 2)   1.814 us    |  sealfs_statfs [sealfs]();
 6) * 10835.61 us |  sealfs_write [sealfs]();
 6) * 10680.42 us |  sealfs_write [sealfs]();
 6) * 11087.54 us |  sealfs_write [sealfs]();
 6) * 11142.56 us |  sealfs_write [sealfs]();
 6) * 10846.70 us |  sealfs_write [sealfs]();
 6) * 10859.04 us |  sealfs_write [sealfs]();
 6) * 11429.85 us |  sealfs_write [sealfs]();
 6) * 10687.48 us |  sealfs_write [sealfs]();
 6) * 12261.75 us |  sealfs_write [sealfs]();
 6) * 11359.00 us |  sealfs_write [sealfs]();
 6) * 10775.92 us |  sealfs_write [sealfs]();
 6) * 11433.39 us |  sealfs_write [sealfs]();
 ------------------------------------------
 1)  gsd-hou-2099  => openvpn-366488
 ------------------------------------------

 1)   1.915 us    |  sealfs_show_options [sealfs]();
 1)   0.658 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 4)  <...>-365932  => openvpn-366488
 ------------------------------------------

 4)   2.134 us    |  sealfs_show_options [sealfs]();
 4)   0.624 us    |  sealfs_show_options [sealfs]();
 4)   1.009 us    |  sealfs_show_options [sealfs]();
 4)   0.406 us    |  sealfs_show_options [sealfs]();
 4)   0.620 us    |  sealfs_show_options [sealfs]();
 4)   0.396 us    |  sealfs_show_options [sealfs]();
 4)   0.558 us    |  sealfs_show_options [sealfs]();
 4)   0.426 us    |  sealfs_show_options [sealfs]();
 4)   0.699 us    |  sealfs_show_options [sealfs]();
 4)   0.393 us    |  sealfs_show_options [sealfs]();
 4)   0.566 us    |  sealfs_show_options [sealfs]();
 4)   0.790 us    |  sealfs_show_options [sealfs]();
 4)   0.822 us    |  sealfs_show_options [sealfs]();
 4)   0.651 us    |  sealfs_show_options [sealfs]();
 4)   0.787 us    |  sealfs_show_options [sealfs]();
 4)   0.693 us    |  sealfs_show_options [sealfs]();
 4)   0.670 us    |  sealfs_show_options [sealfs]();
 4)   0.760 us    |  sealfs_show_options [sealfs]();
 4)   0.696 us    |  sealfs_show_options [sealfs]();
 4)   0.711 us    |  sealfs_show_options [sealfs]();
 4)   0.769 us    |  sealfs_show_options [sealfs]();
 4)   0.665 us    |  sealfs_show_options [sealfs]();
 4)   0.732 us    |  sealfs_show_options [sealfs]();
 4)   0.740 us    |  sealfs_show_options [sealfs]();
 4)   0.892 us    |  sealfs_show_options [sealfs]();
 4)   0.567 us    |  sealfs_show_options [sealfs]();
 4)   0.929 us    |  sealfs_show_options [sealfs]();
 4)   0.594 us    |  sealfs_show_options [sealfs]();
 4)   0.755 us    |  sealfs_show_options [sealfs]();
 4)   0.506 us    |  sealfs_show_options [sealfs]();
 4)   0.584 us    |  sealfs_show_options [sealfs]();
 4)   0.423 us    |  sealfs_show_options [sealfs]();
 4)   0.539 us    |  sealfs_show_options [sealfs]();
 4)   0.600 us    |  sealfs_show_options [sealfs]();
 6) * 10605.49 us |  sealfs_write [sealfs]();
 6) * 11254.33 us |  sealfs_write [sealfs]();
 6) * 10725.49 us |  sealfs_write [sealfs]();
 6) * 10747.11 us |  sealfs_write [sealfs]();
 6) * 11224.62 us |  sealfs_write [sealfs]();
 6) * 10872.38 us |  sealfs_write [sealfs]();
 6) * 11447.69 us |  sealfs_write [sealfs]();
 6) * 11238.56 us |  sealfs_write [sealfs]();
 6) * 11000.16 us |  sealfs_write [sealfs]();
