TiAGo Throughtput on All Tests,Bandwidth (kB/s)
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
sealfs_video,10721.28
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
ext4_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
sealfs_video,10731.52
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
ext4_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
sealfs_video,10741.76
