TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
sealfs,135.14
ext4,135.13
sealfs,135.13
sealfs,135.13
ext4,135.1
sealfs,135.04
ext4,135.03
sealfs,135.01
ext4,134.97
ext4,134.97
ext4,134.96
ext4,134.96
ext4,134.96
sealfs,134.96
sealfs,134.94
ext4,134.9
ext4,134.87
sealfs,134.86
sealfs,134.86
ext4,134.85
ext4,134.84
ext4,134.79
sealfs,134.78
ext4,134.77
ext4,134.76
ext4,134.73
sealfs,134.72
ext4,134.71
ext4,134.69
sealfs,134.68
sealfs,134.56
sealfs,134.52
sealfs,134.5
sealfs,134.43
sealfs,134.42
sealfs,134.4
sealfs,134.3
ext4,134.28
sealfs,133.99
sealfs,133.73
ext4,133.63
ext4,132.97
ext4,132.69
sealfs,132
sealfs,132
ext4,131.97
sealfs,131.96
sealfs,131.91
ext4,131.9
ext4,131.88
ext4,131.84
sealfs,131.84
ext4,131.8
ext4,131.79
ext4,131.79
ext4,131.77
ext4,131.77
sealfs,131.77
ext4,131.76
sealfs,131.72
ext4,131.71
sealfs,131.71
ext4,131.7
sealfs,131.7
sealfs,131.7
sealfs,131.7
sealfs,131.68
sealfs,131.68
sealfs,131.67
sealfs,131.66
sealfs,131.66
ext4,131.64
ext4,131.64
sealfs,131.62
ext4,131.61
sealfs,131.59
sealfs,131.59
ext4,131.58
sealfs,131.58
sealfs,131.58
sealfs,131.58
sealfs,131.57
ext4,131.56
sealfs,131.56
sealfs,131.56
sealfs,131.55
sealfs,131.52
sealfs,131.51
sealfs,131.49
sealfs,131.49
sealfs,131.48
sealfs,131.47
ext4,131.46
ext4,131.46
sealfs,131.46
sealfs,131.46
ext4,131.45
sealfs,131.43
sealfs,131.42
sealfs,131.42
sealfs,131.39
sealfs,131.39
ext4,131.38
ext4,131.36
ext4,131.34
ext4,131.33
sealfs,131.33
sealfs,131.33
ext4,131.32
sealfs,131.32
sealfs,131.31
sealfs,131.26
sealfs,131.23
ext4,131.21
sealfs,131.21
sealfs,131.2
sealfs,131.17
ext4,131.16
sealfs,131.15
ext4,131.14
sealfs,131.13
sealfs,131.12
sealfs,131.11
sealfs,131.11
sealfs,131.08
sealfs,131.04
sealfs,131.04
ext4,131.03
sealfs,131.03
ext4,131
ext4,130.99
sealfs,130.98
sealfs,130.97
sealfs,130.96
sealfs,130.95
ext4,130.86
sealfs,130.86
sealfs,130.86
sealfs,130.85
ext4,130.75
ext4,130.75
sealfs,130.75
sealfs,130.74
ext4,130.73
sealfs,130.73
ext4,130.69
sealfs,130.67
sealfs,130.67
sealfs,130.65
sealfs,130.61
sealfs,130.53
sealfs,130.49
ext4,130.47
sealfs,130.45
sealfs,130.19
ext4,130.08
sealfs,129.93
ext4,129.06
sealfs,128.71
ext4,128.61
sealfs,128.61
ext4,128.58
sealfs,128.52
sealfs,128.42
ext4,128.3
ext4,128.27
ext4,128.27
ext4,128.25
ext4,128.25
ext4,128.25
ext4,128.24
ext4,128.23
ext4,128.23
sealfs,128.23
ext4,128.22
ext4,128.22
sealfs,128.22
sealfs,128.22
sealfs,128.2
sealfs,128.2
ext4,128.19
ext4,128.18
ext4,128.18
ext4,128.18
ext4,128.18
ext4,128.16
sealfs,128.16
ext4,128.15
ext4,128.15
sealfs,128.15
ext4,128.14
sealfs,128.14
ext4,128.13
sealfs,128.12
ext4,128.11
ext4,128.11
ext4,128.11
ext4,128.11
sealfs,128.11
sealfs,128.11
sealfs,128.1
sealfs,128.1
sealfs,128.1
ext4,128.09
ext4,128.09
ext4,128.07
ext4,128.05
ext4,128.05
ext4,128.05
ext4,128.04
ext4,128.04
ext4,128.04
sealfs,128.04
sealfs,128.03
sealfs,128.02
ext4,128.01
ext4,128
ext4,128
sealfs,128
sealfs,128
sealfs,128
ext4,127.99
ext4,127.99
ext4,127.99
sealfs,127.99
ext4,127.98
ext4,127.98
ext4,127.98
ext4,127.98
ext4,127.97
