TiAGo Throughtput on Video Test,Bandwidth (kB/s)
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
sealfs,10711.04
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
ext4,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
sealfs,10721.28
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
ext4,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
sealfs,10731.52
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
ext4,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
sealfs,10741.76
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
ext4,10752
sealfs,10752
sealfs,10752
sealfs,10752
sealfs,10752
sealfs,10752
sealfs,10752
sealfs,10752
sealfs,10752
sealfs,10752
sealfs,10752
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
ext4,10762.24
sealfs,10762.24
sealfs,10762.24
sealfs,10762.24
sealfs,10762.24
sealfs,10762.24
sealfs,10762.24
sealfs,10762.24
sealfs,10762.24
sealfs,10762.24
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
ext4,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
sealfs,10772.48
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
ext4,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
sealfs,10782.72
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
ext4,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
sealfs,10792.96
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
ext4,10803.2
sealfs,10803.2
sealfs,10803.2
sealfs,10803.2
sealfs,10803.2
sealfs,10803.2
sealfs,10803.2
sealfs,10803.2
sealfs,10803.2
sealfs,10803.2
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
ext4,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
sealfs,10813.44
ext4,10823.68
ext4,10823.68
ext4,10823.68
ext4,10823.68
ext4,10823.68
ext4,10823.68
ext4,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
sealfs,10823.68
ext4,10833.92
ext4,10833.92
ext4,10833.92
ext4,10833.92
ext4,10833.92
ext4,10833.92
ext4,10833.92
ext4,10833.92
ext4,10833.92
ext4,10833.92
sealfs,10833.92
sealfs,10833.92
sealfs,10833.92
sealfs,10833.92
sealfs,10833.92
ext4,10844.16
ext4,10844.16
ext4,10844.16
ext4,10844.16
ext4,10844.16
ext4,10844.16
ext4,10844.16
sealfs,10844.16
sealfs,10844.16
sealfs,10844.16
sealfs,10844.16
sealfs,10844.16
sealfs,10844.16
ext4,10854.4
ext4,10854.4
ext4,10854.4
ext4,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
sealfs,10854.4
