Summit Latency on Video Test,time (uS)
ext4_write,1414.858
ext4_write,1414.892
ext4_write,1414.893
ext4_write,1414.895
ext4_write,1414.964
ext4_write,1414.987
ext4_write,1414.995
ext4_write,1414.998
ext4_write,1415.02
ext4_write,1415.065
ext4_write,1415.068
ext4_write,1415.095
ext4_write,1415.106
ext4_write,1415.122
ext4_write,1415.177
ext4_write,1415.228
ext4_write,1415.243
ext4_write,1415.332
ext4_write,1415.336
ext4_write,1415.351
ext4_write,1415.411
ext4_write,1415.417
ext4_write,1415.459
ext4_write,1415.461
ext4_write,1415.465
ext4_write,1415.494
ext4_write,1415.534
ext4_write,1415.545
ext4_write,1415.585
ext4_write,1415.617
ext4_write,1415.624
ext4_write,1415.632
ext4_write,1415.662
ext4_write,1415.707
ext4_write,1415.709
ext4_write,1415.717
ext4_write,1415.722
ext4_write,1415.722
ext4_write,1415.747
ext4_write,1415.748
ext4_write,1415.754
ext4_write,1415.796
ext4_write,1415.812
ext4_write,1415.831
ext4_write,1415.832
ext4_write,1415.863
ext4_write,1415.875
ext4_write,1415.889
ext4_write,1415.956
ext4_write,1415.969
ext4_write,1416.005
ext4_write,1416.027
ext4_write,1416.07
ext4_write,1416.071
ext4_write,1416.085
ext4_write,1416.11
ext4_write,1416.12
ext4_write,1416.139
ext4_write,1416.237
ext4_write,1416.25
ext4_write,1416.256
ext4_write,1416.262
ext4_write,1416.294
ext4_write,1416.319
ext4_write,1416.328
ext4_write,1416.33
ext4_write,1416.376
ext4_write,1416.434
ext4_write,1416.44
ext4_write,1416.446
ext4_write,1416.46
ext4_write,1416.481
ext4_write,1416.485
ext4_write,1416.485
ext4_write,1416.49
ext4_write,1416.504
ext4_write,1416.505
ext4_write,1416.543
ext4_write,1416.566
ext4_write,1416.57
ext4_write,1416.632
ext4_write,1416.638
ext4_write,1416.643
ext4_write,1416.664
ext4_write,1416.666
ext4_write,1416.677
ext4_write,1416.707
ext4_write,1416.76
ext4_write,1416.791
ext4_write,1416.804
ext4_write,1416.856
ext4_write,1416.861
ext4_write,1416.886
ext4_write,1416.91
ext4_write,1416.942
ext4_write,1416.964
ext4_write,1416.978
ext4_write,1417.007
ext4_write,1417.019
ext4_write,1417.02
ext4_write,1417.046
ext4_write,1417.049
ext4_write,1417.061
ext4_write,1417.088
ext4_write,1417.112
ext4_write,1417.187
ext4_write,1417.211
