Summit Latency on All Tests,time (uS)
sealfs_write_video,15457.91
sealfs_write_video,15457.55
sealfs_write_video,15457.53
sealfs_write_video,15455.92
sealfs_write_video,15455.52
sealfs_write_video,15455.32
sealfs_write_video,15455.04
sealfs_write_video,15454.89
sealfs_write_video,15454.86
sealfs_write_video,15454.81
sealfs_write_video,15454.81
sealfs_write_video,15454.3
sealfs_write_video,15454.3
sealfs_write_video,15452.41
sealfs_write_video,15452.14
sealfs_write_video,15451.92
sealfs_write_video,15451.63
sealfs_write_video,15450.63
sealfs_write_video,15450.46
sealfs_write_video,15450.33
sealfs_write_video,15449.1
sealfs_write_video,15448.97
sealfs_write_video,15448.01
sealfs_write_video,15447.57
sealfs_write_video,15446.4
sealfs_write_video,15446.25
sealfs_write_video,15445.73
sealfs_write_video,15445.32
sealfs_write_video,15445.3
sealfs_write_video,15445.25
sealfs_write_video,15445.06
sealfs_write_video,15444.81
sealfs_write_video,15444.7
sealfs_write_video,15444.56
sealfs_write_video,15444.52
sealfs_write_video,15443.93
sealfs_write_video,15443.79
sealfs_write_video,15443.63
sealfs_write_video,15443.35
sealfs_write_video,15443.32
sealfs_write_video,15442.96
sealfs_write_video,15442.55
sealfs_write_video,15442.43
sealfs_write_video,15441.31
sealfs_write_video,15440.41
sealfs_write_video,15439.7
sealfs_write_video,15439.28
sealfs_write_video,15439.22
sealfs_write_video,15439.14
sealfs_write_video,15437.79
sealfs_write_video,15437.79
sealfs_write_video,15437.59
sealfs_write_video,15437.46
sealfs_write_video,15437.36
sealfs_write_video,15437.35
sealfs_write_video,15437.23
sealfs_write_video,15437.11
sealfs_write_video,15437.09
sealfs_write_video,15436.97
sealfs_write_video,15436.7
sealfs_write_video,15436.67
sealfs_write_video,15436.48
sealfs_write_video,15436.3
sealfs_write_video,15435.55
sealfs_write_video,15435.42
sealfs_write_video,15435.2
sealfs_write_video,15434.34
sealfs_write_video,15434.04
sealfs_write_video,15433.98
sealfs_write_video,15433.29
sealfs_write_video,15433.1
sealfs_write_video,15433.09
sealfs_write_video,15432.93
sealfs_write_video,15431.83
sealfs_write_video,15431.23
sealfs_write_video,15430.91
sealfs_write_video,15430.57
sealfs_write_video,15430.39
sealfs_write_video,15430.24
sealfs_write_video,15429.8
sealfs_write_video,15429.44
sealfs_write_video,15429.33
sealfs_write_video,15428.49
sealfs_write_video,15428.44
sealfs_write_video,15428.29
sealfs_write_video,15428.13
sealfs_write_video,15427.96
sealfs_write_video,15427.61
sealfs_write_video,15427.6
sealfs_write_video,15427.57
sealfs_write_video,15427.17
sealfs_write_video,15427.13
sealfs_write_video,15426.74
sealfs_write_video,15426.7
sealfs_write_video,15426.64
sealfs_write_video,15426.48
sealfs_write_video,15426.44
sealfs_write_video,15425.94
sealfs_write_video,15425.66
sealfs_write_video,15425.3
sealfs_write_video,15425.03
sealfs_write_video,15424.99
sealfs_write_video,15424.82
sealfs_write_video,15424.33
sealfs_write_video,15423.94
sealfs_write_video,15423.86
sealfs_write_video,15423.8
sealfs_write_video,15423.15
sealfs_write_video,15422.45
sealfs_write_video,15422.41
